image_url,id,bbox,annotator,annotation_id,created_at,updated_at,lead_time
/data/upload/1/2c3e2811-ID0.jpg,1,"[{""x"": 25.42585823436923, ""y"": 73.53409522640642, ""width"": 17.107473209534792, ""height"": 1.2952222292028224, ""rotation"": 6.56601188479442, ""original_width"": 1960, ""original_height"": 4032}]",1,2,2022-04-20T02:25:19.683450Z,2022-06-05T17:17:20.547914Z,11716.048
/data/upload/1/cb9c3e42-ID8.JPG,9,,1,6,2022-04-20T02:36:38.259450Z,2022-06-05T17:16:51.103879Z,11685.8
/data/upload/1/5ce11a16-ID20.jpg,21,,1,16,2022-04-20T14:22:41.919551Z,2022-06-05T17:16:06.553133Z,11641.976
/data/upload/1/c2ad3a11-ID21.JPG,22,,1,17,2022-04-20T14:23:33.588234Z,2022-06-05T17:15:56.070230Z,11631.605
/data/upload/1/02c3cf3b-ID26.jpeg,25,,1,19,2022-04-20T14:25:29.398136Z,2022-06-05T17:15:35.552469Z,11610.608
/data/upload/1/0dd5c0be-ID28.JPG,27,,1,21,2022-04-20T14:27:29.205503Z,2022-06-05T17:15:09.211633Z,11584.186
/data/upload/1/3d5b0155-ID31.jpeg,28,,1,22,2022-04-20T14:28:04.331386Z,2022-06-05T17:14:58.742143Z,11573.853
/data/upload/1/1509bef5-ID34.jpg,30,,1,24,2022-04-20T14:32:43.641981Z,2022-06-05T17:14:44.435635Z,11559.902
/data/upload/1/f62b7889-ID38.jpg,34,,1,27,2022-04-20T14:35:01.279561Z,2022-06-05T17:14:25.235808Z,11539.97
/data/upload/1/9f9cd9cb-ID51.jpeg,43,,1,31,2022-04-20T14:50:24.080699Z,2022-06-05T17:14:05.616616Z,11521.102
/data/upload/1/9acac86e-ID62.JPG,52,,1,35,2022-04-20T14:55:31.944345Z,2022-06-05T17:13:40.340086Z,11495.859
/data/upload/1/985f0c66-ID71.jpg,56,,1,37,2022-04-20T14:57:28.513033Z,2022-06-05T17:13:24.064302Z,11479.604
/data/upload/1/8fcbe0ba-ID79.jpeg,61,,1,40,2022-04-20T14:59:04.584832Z,2022-06-05T17:13:07.629921Z,11463.103
/data/upload/1/a3cb3c08-ID80.jpg,62,,1,41,2022-04-20T14:59:33.035907Z,2022-06-05T17:12:57.034974Z,11451.774
/data/upload/1/85497612-ID81.JPG,63,,1,42,2022-04-20T15:00:17.287370Z,2022-06-05T17:12:33.826187Z,11428.538
/data/upload/1/935d38a2-ID83.JPG,65,,1,44,2022-04-20T15:02:02.849284Z,2022-06-05T17:12:06.227147Z,11401.678
/data/upload/1/3747e756-ID85.jpg,67,"[{""x"": 28.983584526669347, ""y"": 60.251575743230816, ""width"": 5.968841764271132, ""height"": 1.173021041908877, ""rotation"": 358.4825858749889, ""original_width"": 3024, ""original_height"": 4032}, {""x"": 35.03592594114408, ""y"": 67.18234557155341, ""width"": 6.319950103345909, ""height"": 1.1251426320350726, ""rotation"": 0, ""original_width"": 3024, ""original_height"": 4032}]",1,46,2022-04-20T15:03:45.047844Z,2022-06-05T17:11:44.893473Z,11380.444
/data/upload/1/7ecd36cb-ID87.jpg,69,"[{""x"": 18.45235142623793, ""y"": 70.04625384919702, ""width"": 9.887210828345617, ""height"": 1.853852030314794, ""rotation"": 0, ""original_width"": 3024, ""original_height"": 4032}, {""x"": 27.77681570816877, ""y"": 81.9245935627406, ""width"": 11.016747418161785, ""height"": 1.8723212874095414, ""rotation"": 2.526116911618601, ""original_width"": 3024, ""original_height"": 4032}]",1,47,2022-04-20T15:05:51.908439Z,2022-06-05T17:11:27.725393Z,11363.226
/data/upload/1/ee5529de-ID92.JPG,74,,1,51,2022-04-20T15:09:44.460358Z,2022-06-05T17:10:41.915181Z,11316.897
/data/upload/1/8b5d610e-ID93.JPG,75,,1,52,2022-04-20T15:10:06.750500Z,2022-06-05T17:10:32.793044Z,11308.289
/data/upload/1/7da8bea4-ID96.jpg,78,,1,53,2022-04-20T15:12:11.947126Z,2022-06-05T17:10:24.221536Z,11299.723
/data/upload/1/e7801e4b-ID102.jpg,82,,1,55,2022-04-20T15:16:05.336183Z,2022-06-05T17:10:10.212436Z,11285.666
/data/upload/1/ec1cd8c3-ID103.jpeg,83,,1,56,2022-04-20T15:16:59.846389Z,2022-06-05T17:10:01.295583Z,11275.962
/data/upload/1/e3d2c028-ID104.JPG,84,,1,57,2022-04-20T15:17:27.333787Z,2022-06-05T17:09:43.906679Z,11259.039
/data/upload/1/cec72bc6-ID105.jpg,85,,1,58,2022-04-20T15:17:58.043329Z,2022-06-05T17:09:28.323936Z,11243.252
/data/upload/1/72e3a4ce-ID107.jpeg,87,,1,59,2022-04-20T15:19:24.433812Z,2022-06-05T17:09:16.483314Z,11231.42
/data/upload/1/223dfec8-ID116.jpg,93,,1,62,2022-04-20T15:23:54.316134Z,2022-06-05T17:09:02.192331Z,11217.706
/data/upload/1/4f5165c4-ID134.jpg,105,,1,67,2022-04-20T16:50:02.099594Z,2022-06-05T17:08:35.487146Z,11190.606
/data/upload/1/cbc68594-ID167.jpeg,134,,1,78,2022-04-20T17:06:32.786097Z,2022-06-05T17:07:52.270687Z,11146.979
